"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://alexdenne.github.io/fofd/images/wildlife/CommonSpottedOrchid.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","66083","66083","66083","25.315","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.124","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/CommonSpottedOrchid.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/GreaterYellowRattle.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","66965","66965","66965","25.653","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.132","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/GreaterYellowRattle.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/Badger.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","74570","74570","74570","28.566","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.134","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/Badger.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/FoxCubs.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","83068","83068","83068","31.822","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.208","Wed, 10 Dec 2025 12:47:49 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/FoxCubs.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/SaladBurnet.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","56288","56288","56288","21.563","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.130","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/SaladBurnet.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/Rabbit.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","54658","54658","54658","20.938","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.126","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/Rabbit.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/WildThyme.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","57481","57481","57481","22.020","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.135","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/WildThyme.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/PyramidalOrchid.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","59824","59824","59824","22.917","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.127","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/PyramidalOrchid.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/RedAdmiral.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","51292","51292","51292","19.649","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.125","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/RedAdmiral.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/StockDove.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","54720","54720","54720","20.962","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.128","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/StockDove.jpg","2025-12-10 13:05:03"
